match_id,player_name,balls_faced,runs_scored,out,catches
173,AD Hales,5,4,1,1
173,C Munro,35,66,0,0
173,DJ Malan,7,10,1,0
173,DJ Willey,1,0,0,0
173,DR Sams,19,17,1,1
173,GD Phillips,5,12,1,1
173,JE Root,10,14,1,1
173,JM Bairstow,9,3,1,0
173,JM Clarke,34,54,2,0
173,LWP Wells,7,8,1,1
173,RE van der Merwe,3,7,0,0
173,SR Patel,16,16,1,1
173,SS Eskinazi,23,25,1,1
173,T Kohler-Cadmore,11,6,1,0
173,TB Abell,20,32,0,0
174,AM Rossington,34,61,1,0
174,CP Wood,3,5,0,0
174,DJ Mitchell,4,4,1,0
174,DW Lawrence,11,24,1,1
174,H Klaasen,24,46,0,0
174,JJ Roy,18,23,1,1
174,LA Dawson,2,1,1,1
174,MJJ Critchley,13,32,0,0
174,MS Pepper,2,0,1,0
174,MS Wade,17,19,1,1
174,RA Whiteley,1,0,1,1
174,SM Curran,18,35,1,1
174,SW Billings,1,2,0,0
174,WG Jacks,44,68,1,1
174,Z Crawley,23,19,1,0
175,AF Milne,5,3,0,0
175,BAC Howell,12,15,1,1
175,BM Duckett,17,27,1,0
175,CJ Jordan,1,0,0,0
175,CR Woakes,4,4,1,1
175,DP Conway,26,24,1,0
175,DR Mousley,18,11,1,0
175,FH Allen,15,22,1,1
175,GHS Garton,18,28,1,1
175,JL Smith,7,2,1,0
175,JL du Plooy,18,15,1,0
175,JM Vince,16,18,1,0
175,KW Richardson,1,0,0,0
175,LS Livingstone,24,25,1,1
175,MM Ali,3,1,1,0
175,TH David,5,5,1,1
175,WCF Smeed,14,23,1,1
176,AD Hales,2,0,1,1
176,AJ Turner,8,10,1,1
176,C Munro,25,36,1,1
176,DR Sams,9,13,1,1
176,J Overton,10,11,1,0
176,JC Buttler,6,11,1,1
176,JE Root,25,35,1,1
176,LJ Evans,16,14,1,0
176,MDE Holden,10,14,1,1
176,PD Salt,32,86,1,0
176,PI Walter,20,27,0,0
176,SR Hain,3,3,0,0
176,T Kohler-Cadmore,45,64,1,1
176,Usama Mir,1,1,0,0
177,A Lyth,15,26,1,1
177,AJ Hose,27,33,1,1
177,AM Rossington,30,53,1,1
177,D Wiese,9,6,1,1
177,DJ Mitchell,19,34,1,0
177,DW Lawrence,6,4,1,0
177,HC Brook,24,44,1,1
177,MJ Potts,1,1,0,0
177,MJJ Critchley,6,8,0,0
177,MS Wade,22,42,1,0
177,MW Short,14,20,1,1
177,RS Bopara,5,6,1,1
177,SA Zaib,3,1,1,1
177,T Banton,6,2,1,0
177,WD Parnell,3,9,0,0
177,Z Crawley,13,12,1,1
178,AD Hales,14,27,1,0
178,AF Milne,2,1,1,0
178,BAC Howell,6,7,1,1
178,BM Duckett,7,4,1,1
178,C Munro,17,34,1,1
178,CG Benjamin,9,14,1,0
178,CR Woakes,15,16,0,0
178,DR Sams,13,20,1,1
178,JE Root,8,8,1,0
178,JL Smith,22,38,1,0
178,KW Richardson,3,2,1,1
178,L Gregory,12,18,0,0
178,L Wood,6,10,0,0
178,LS Livingstone,17,9,1,1
178,MM Ali,11,4,1,1
178,SR Hain,22,30,1,1
178,T Kohler-Cadmore,11,11,1,1
178,T Sangha,2,2,0,0
178,WCF Smeed,8,15,1,0
179,CJ Jordan,10,15,1,1
179,CN Ackermann,11,8,1,1
179,DP Conway,11,16,1,1
179,FH Allen,29,32,1,1
179,GHS Garton,3,0,1,1
179,H Klaasen,11,18,1,0
179,JJ Roy,20,28,1,0
179,JL du Plooy,2,3,1,0
179,JM Vince,16,11,1,1
179,NA Sowter,3,4,0,0
179,RA Whiteley,2,2,0,0
